Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
TX03,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday March 24, 2015:Hearing Renewed Market Chatter of Alibaba Bid for Ebay",3/24/2015 19:03:00,"Benzinga's M&A Chatter for Tuesday March 24, 2015",NA,,,,,,,,,,
TX03,1,"Shares of Ebay (NASDAQ: EBAY) moved higher Tuesday, on unconfirmed market chatter of a bid from Alibaba (NYSE: BABA). The rumored offer is $74 per share. A similar rumor surfaced on February 10.An Ebay spokesperson declined comment on the rumor. An Alibaba spokesperson was not immediately available for comment.Ebay shares closed Tuesday at $59.51 Tuesday, a gain of 1.5%.Lexmark to Acquire Kofax for $11.00/Share in Cash",3/24/2015 19:03:00,"Benzinga's M&A Chatter for Tuesday March 24, 2015",The Rumor:,EBAY,,BABA,,,,,,,
TX03,2,"Lexmark International, Inc. (NYSE: LXK) and Kofax Limited (NASDAQ: KFX) announced Tuesday, that the two companies have entered into a merger agreement in which Lexmark will acquire Kofax for $11.00 per share in cash. The total enterprise value is approximately $1 billion, net of cash acquired.The deal is expected to close in Q2 of 2015, pending Kofax shareholder approval and applicable regulatory clearancesKofax shares lost $0.61 Tuesday, closing at $63.23.Great Wolf Resorts to be Acquired by Affiliate of Centerbridge Partners",3/24/2015 19:03:00,"Benzinga's M&A Chatter for Tuesday March 24, 2015",The Deal:,KFX,,LXK,,,,,,,
TX03,3,"Great Wolf Resorts, Inc., controlled by funds affiliated with Apollo Global Management, LLC (NYSE: APO) announced Tuesday, that it has entered into a definitive agreement and plan of merger with an affiliate of Centerbridge Partners, L.P., whereby Centerbridge will acquire Great Wolf.Terms of the deal, which is expected to close in Q2 of 2105, were not disclosed. Reuters reported earlier in the day, that the deal was valued at $1.35 billion.Apollo Global Management shares lost $0.08 Tuesday, closing at $22.01.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/24/2015 19:03:00,"Benzinga's M&A Chatter for Tuesday March 24, 2015",The Deal:,APO,,,,,,,,,
lY13,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday March 23, 2015:Hearing Unconfirmed Market Chatter of $2.50 Offer for Origin Agritech",3/23/2015 20:30:00,"Benzinga's M&A Chatter for Monday March 23, 2015",NA,,,,,,,,,,
lY13,1,"Shares of Origin Agritech Limited (NASDAQ: SEED) rose Monday, on report from the Wall Street Journal on Sunday, that the company may be a takeover target for Hunan Xindaxin, as it was in 2014. Hunan Xindaxin bid $2.50 per share in November 2014, but Origin's Board said the offer was not in the best interest of the company.Origin Agritech shares closed at $1.55 Monday, a gain of 46%.Hearing Unconfirmed Market Chatter of Exxon Mobil $72-$74/Share Bid for ConocoPhillips",3/23/2015 20:30:00,"Benzinga's M&A Chatter for Monday March 23, 2015",The Rumor:,SEED,,,,,,,,,
lY13,2,"Shares of ConocoPhillips (NYSE: COP) spiked higher Monday, on unconfirmed marker chatter of a potential bid of $72 to $74 per share from Exxon Mobil Corporation (NYSE: XOM)Spokespersons for ConocoPhillips and Exxon Mobil were not available for comment.ConocoPhillips shares lost $0.61 Monday, closing at $63.23.ClubCorp to Acquire Collection of Six Golf Clubs for ~$44M",3/23/2015 20:30:00,"Benzinga's M&A Chatter for Monday March 23, 2015",The Rumor:,COP,,XOM,,,,,,,
lY13,3,"ClubCorp (NASDASQ: MYCC) announced Monday, an agreement to acquire a multi-club portfolio of six golf clubs from Stratford Golf Partners and Accord Golf Capital for around $44 million. The sellers are and the acquisition will be funded from existing liquidity. The clubs are located in North Carolina, Georgia, Florida, Virginia and Tennessee.ClubCorp shares lost $0.10% Monday, closing at $18.50.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/23/2015 20:30:00,"Benzinga's M&A Chatter for Monday March 23, 2015",The Deal:,,,MYCC,,,,,,,
KQ13,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday March 20 through Sunday March 22, 2015:Simon Property Group Submits 'Best, Final' Offer to Acquire Macerich for $95.50/Share in Cash, StockThe Offer: Simon Property Group, Inc. (NYSE: SPG) announced Friday, that it has sent a letter to The Macerich Company (NYSE: MAC) presenting its best and final offer to acquire all the outstanding shares of Macerich for $95.50 per share, 50% in cash and 50% in Simon stock. Simon's previous offer was $91.00 per share in cash and stock.Macerich confirmed receipt of the proposal from Simon and announced it Board of Directors will review the offer.Macerich shares closed at $89.21 Friday, a loss of $4.29. Simon shares rose $5.24, closing at $197.34. Hearing Detwiler Says Cablevision May be Target of Charter Communications",3/22/2015 21:33:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
KQ13,1,"Shares of Cablevision Systems Corporation (NYSE: CVC) rose Friday, on a note from Detwiler, that the Long Island-based company, led by Jim Dolan, could be a takeover target for Charter Communications, Inc. (NASDAQ: CHTR).Spokespersons for Cablevison and Charter Communications were not available for comment.Cablevision shares gained $0.59 Friday, closing at $18.68.Viggle Receives $10M Bid from Founder, CEO for 25% Interest in Company's Wetpaint BusinessThe Offer:Viggle (Nasdaq: VGGL) confirmed Friday, that it received an offer from founder, executive chairman and CEO Robert F.X. Sillerman, for the acquisition of a 25% stake in the company's Wetpaint business for $10 million in cash. Sillerman's proposal provides for him to receive an option to acquire the remaining 75% of the Wetpaint business for $40 million within 24 months, consisting of a minimum of $20 million in cash and the remainder through the issuance of a 5-year note bearing 6% interest per annum.Viggle's Board of Directors expects to form a Special Committee of independent directors to evaluate Sillerman's proposal.Viggle shares gained 13% Friday, closing at $1.64.Tenet Healthcare Reportedly Near $2.5B Deal to Acquire United Surgical Partners",3/22/2015 21:33:00,Benzinga's Weekend M&A Chatter,The Rumor:,CVC,,,,,,,,,
KQ13,2,"Tenet Healthcare Corp. (NYSE: THC) is said to be nearing a deal to acquire United Surgical Partners, in a deal that could be worth more than $2.5billion, according to the Wall Street Journal. Sources say the deal could be announced as soon as Monday.Tenet Healthcare shares lost 15% Friday, closing at $49.62.Posted-In: News Rumors Management M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/22/2015 21:33:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,THC,,,,,,,
rg27,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday March 19, 2015:Janssen Acquires XO1 Limited; Terms Not Disclosed",3/19/2015 18:40:00,"Benzinga's M&A Chatter for Thursday March 19, 2015",NA,,,,,,,,,,
rg27,1,"Janssen Pharmaceuticals, a Johnson & Johnson (NYSE: JNJ) company, announced Thursday, that it has acquired privately held asset-centric virtual biopharmaceutical company, XO1 Limited. Financial terms were not disclosed.Johnson & Johnson shares closed at $101.69 Thursday, a gain of $0.23. Siemens Reportedly Having Problems Closing Dresser Rand Deal",3/19/2015 18:40:00,"Benzinga's M&A Chatter for Thursday March 19, 2015",The Deal:,,,JNJ,,,,,,,
rg27,2,"Shares of Dresser Rand (NYSE: DRC) fell Thursday, on a report from Manager Magazin that Siemens (OTC: SIEGY) is having trouble closing the acquisition of DRC, due to EU antitrust regulators extending their investigation of the deal. This is resulting in late fees added to the deal. The EU regulator will now make a decision by July 14, instead of the original June 30 deadline.Siemens agreed to acquire Dresser-Rand on September 22, 2014 for $7.6 billion, including debt.Dresser-Rand did not immediately respond to a request for comment.Dresser-Rand shares lost 1.5% Thursday, closing at $79.39.KKR, CVC Capital Partners Near Deal to Acquire of 80% Of Philips Lighting Unit",3/19/2015 18:40:00,"Benzinga's M&A Chatter for Thursday March 19, 2015",The Rumor:,,,,,,,,,,
rg27,3,"Shares of Koninklijke Philips N.V (NYSE: PHG) were volatile Thursday, on a report from Bloomberg, that KKR & Co. L.P. (NYSE: KKR) CVC Capital Partners were close to acquiring 80% Of the company's lighting unit, according to sources. Philips had said earlier in the day, it was considering an IPO of the unit.Philips shares lost more than 2% Thursday, closing at $28.97.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/19/2015 18:40:00,"Benzinga's M&A Chatter for Thursday March 19, 2015",The Rumor:,,,,,,,,,,
RX45,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday March 18, 2015:Ocwen to Sell $9.6B Portfolio of Mortgage Servicing Rights to Walter Subsidiary",3/18/2015 19:20:00,"Benzinga's M&A Chatter for Wednesday March 18, 2015",NA,,,,,,,,,,
RX45,1,"Ocwen Financial Corporation (NYSE: OCN), announced Wednesday, that its subsidiary, Ocwen Loan Servicing, LLC and Walter Investment Management Corp. subsidiary (NYSE: WAC) Green Tree Loan Servicing LLC, have agreed in principle on the sale by Ocwen of $9.6 billion in residential mortgage servicing rights on a portfolio consisting of about 55,500 largely performing loans owned by Freddie Mac. The deal is expected to close by April 30, 2015.More than one source reported earlier in the week that JPMorgan Chase & Co. (NYSE: JPM) could be the buyer of the Ocwen portfolio,Ocwen shares closed at $8.73 Wednesday, a loss of almost 3. Walter shares rose 7%, closing at $16.69.Whiting Shares Spike on Renewed Chatter",3/18/2015 19:20:00,"Benzinga's M&A Chatter for Wednesday March 18, 2015",The Deal:,,,,,,,,,,
RX45,2,"Shares of Whiting Petroleum Corp. (NYSE: WLL) spiked higher Wednesday, on renewed unconfirmed market chatter that the company had cancelled out of a conference and also renewed takeover chatter. There were multiple media reports in the last week that Hess (NYSE: HESS), Exxon Mobil (NYSE: XOM) and Continental Resources (NYSE: CLR), are among companies that had expressed interest in acquiring all or part of Whiting.A spokesperson for the company had told Benzinga on Tuesday that Whiting had not cancelled out of any conference.Whiting shares gained almost 9% Wednesday, closing at $40.95.EU Regulators to Approve Zimmer's Acquisition of Biomet",3/18/2015 19:20:00,"Benzinga's M&A Chatter for Wednesday March 18, 2015",The Rumor:,WLL,,HESS,XOM,CLR,,,,,
RX45,3,"EU antitrust regulators are ready to approve Zimmer Holdings, Inc. (NYSE: ZMH) proposed $13.4 billion acquisition of Biomet, according to sources as reported Wednesday by Reuters. The deal was announced on April 24, 2014.Zimmer shares gained almost 3.5% Wednesday, closing at $119.21.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/18/2015 19:20:00,"Benzinga's M&A Chatter for Wednesday March 18, 2015",The Rumor:,,,ZMH,,,,,,,
gw03,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday March 17, 2015:Macerich Rejects $91 Bid from SimonThe Rejection:The Macerich Company (NYSE: MAC) announced that its Board of Directors, after consulting with its financial and legal advisors, unanimously determined that the unsolicited, conditional proposal from Simon Property Group, Inc. (NYSE: SPG) to acquire the Company for $91.00 per share in cash and stock substantially undervalues Macerich and is not in the best interests of Macerich and its stockholders.Simon responded to the rejection by Macerich of Simon's proposal to acquire the outstanding shares of Macerich for $91.00 per share in cash and Simon shares, and Macerich's decision to classify its Board of Directors without a shareholder vote and adopt a poison pill.Macerich shares closed at $91.60 Tuesday, a loss of 3.5%.Whiting Shares Spike on Conference Cancellation Rumor",3/17/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday March 17, 2015",NA,,,,,,,,,,
gw03,1,"Shares of Whiting Petroleum Corp. (NYSE: WLL) spiked higher Tuesday, on a unconfirmed market chatter that the company had cancelled out of a conference. There were reports late last week that several companies, including Hess Corporation (NYSE: HESS), Exxon Mobil Corporation (NYSE: XOM) and Continental Resources, Inc. (NYSE: CLR), had expressed interest in acquiring all or part of Whiting.A spokesperson for the company told Benzinga Whiting had not cancelled out of any conference and next had planned to attend the Scotia Howard Weil Energy Conference, which takes place March 22-26.Whiting shares lost almost 3% Tuesday, closing at $37.62.Prysmian General Cable",3/17/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday March 17, 2015",The Rumor:,WLL,,HESS,XOM,CLR,,,,,
gw03,2,"Shares of General Cable Corp. (NYSE: BGC) spiked sharply higher Tuesday, prior to being halted on a circuit-breaker. Bloomberg reported that Prysmian S.p.A.(OTC: PRYMF) had held preliminary talks with advisors about acquiring General Cable. Prysmian later told Reuters they were evaluating opportunities, but there are no ongoing discussions with General Cable.General Cable shares gained 21% Tuesday, closing at $17.73.Posted-In: News Rumors M&A© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/17/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday March 17, 2015",The Rumor:,BGC,,PRYMF,,,,,,,
Jm30,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday March 16, 2015:Shanda Games Announces Consortium to Take Co. Private for $3.45/Share, $6.90/ADSThe Offer:Shanda Games Limited (NASDAQ: GAME) has been informed by Ningxia Yilida Capital Investment Limited Partnership that Ningxia Yilida, Ningxia, Orient Hongtai, Orient Hongzhi (Hong Kong) Limited and Hao Ding International Limited entered into a consortium agreement on March 16, 2015, pursuant to which they agreed to form a consortium to acquire the Company in a ""going private"" transaction at $3.45 per Class A or Class B ordinary share, or $6.90 per American depositary share.The Shanda Special Committee is reviewing the proposal and has not set a definitive timetable for the completion of its evaluation.Shanda Games shares closed at $6.38 Monday, a gain of 1.25%.Report P&G Could Potential Sell, Launch IPO of Beauty Brands",3/16/2015 19:11:00,"Benzinga's M&A Chatter for Monday March 16, 2015",NA,,,,,,,,,,
Jm30,1,"Shares of The Procter & Gamble Company (NYSE: PG) spiked higher Monday, on a report from Bloomberg, that P&G is exploring a sale or IPO of some of its beauty brands business, which includes Cover Girl and Herbal Essense. Sources also sale the company could consider a sale of its Wella hair-care business.A P&G spokesperson says Bloomberg's report is pure speculation.P&G shares rose 2% Monday, closing at $83.56.Valeant Raises Bid for Salix to $173/Share in CashThe Ameneded Agreement:Valeant Pharmaceuticals International, Inc. (NYSE: VRX) and Salix Pharmaceuticals, Ltd. (NASDAQ: SLXP) announced Monday, that they have entered into an amendment to their Plan of Merger, dated February 20, 2015. Valeant increased the offer price to acquire all the outstanding common stock of Salix from $158.00 per share to $173.00 per share in cash, for a total enterprise value of approximately $15.8 billion.The deal is expected to close by April 1.Following the announcement of the revised Valeant offer, Endo International plc (NASDAQ: ENDP) announced it was withdawing its offer to acquire Salix.Salix shares gained 2% Monday, closing at $172.75; Valeant shares gained 2.5%. to close at $202.34; Endo gained 2.5%, closing at $89.65. Leonard Green, TPG to Acquire Life Time Fitness for $72.10/Share",3/16/2015 19:11:00,"Benzinga's M&A Chatter for Monday March 16, 2015",The Rumor:,,,,,,,,,,
Jm30,2,"Life Time Fitness, Inc. (NYSE: LTM), Leonard Green & Partners and TPG, announced Monday, that they have entered into a definitive merger agreement under which affiliates of Leonard Green & Partners and TPG will acquire Life Time for $72.10 per share in cash. The transaction is valued at more than $4.0 billion.The deal is expected to close in Q3 of 2015.Life Time Fitness shares rose 5% Monday, closing at $70.68.Hearing Unconfirmed Market Chatter of Cisco $60/Share Bid for FireEye",3/16/2015 19:11:00,"Benzinga's M&A Chatter for Monday March 16, 2015",The Deal:,LTM,,,,,,,,,
Jm30,3,"Shares of FireEye rose Monday, on Unconfirmed market chatter of a potential bid from Cisco of $60.00 per share.Cisco declined comment on the rumor. FireEye did not respond to a request for comment. FireEye shares rose $0.33 Monday, closing at $42.37.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/16/2015 19:11:00,"Benzinga's M&A Chatter for Monday March 16, 2015",The Rumor:,FEYE,,CSCO,,,,,,,
Zr63,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday March 13 through Sunday March 15, 2015:Conflicting Reports on Potential Whiting Sale",3/15/2015 18:27:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
Zr63,1,"Shares of Whiting Petroleum (NASDAQ: CHTR) spiked sharply higher Friday, and were halted on a circuit-breaker, on a report from Bloomberg that the company has drawn interest from potential buyers, including ExxonMobil (NYSE: XOM), Continental Resources Inc (NYSE: CLR), Hess (NYSE: HES) and Statoil (NYSE: STO), according to sources.Reuters later reported that their sources said that Whiting was selling Texas acreage and pipeline assets as an alternative to a sale of the full company.Representatives for Whiting and Hess declined comment, while Exxon, Continental and Statoil did not immediately respond. The Wall Street Journal reported on March 7, that Whiting was seeking a buyer.There was unusual activity in the March $39 Whiting call on Friday morning.Whiting Petroleum shares closed at $40.00 Friday and traded as high as $41.37 after-hours.KKR, Varde, Deutsche Bank Acquire GE Capital Consumer Finance Unit for $6.3B",3/15/2015 18:27:00,Benzinga's Weekend M&A Chatter,The Rumor:,WLL,,XOM,CLR,HES,STO,0,,,
Zr63,2,"A consortium Värde Partners, KKR (NYSE: DB) and Deutsche Bank (NYSE: DB) have signed an agreement to acquire GE Capital's Australia and New Zealand Consumer Lending Business at an enterprise value of A$ 8.2 billion ($6.3 billion).The transaction is subject to customary regulatory approvals. Further terms of the deal were not disclosed.GE shares fell $0.36 Friday, closing at $25.04.Valeant Reportedly to Raise Bid for Salix to $160+/ShareThe Offer:Valeant Pharmaceuticals International (NYSE: VRX) is planning to raise its bid for Salix Pharmaceuticals Ltd. (NASDAQ: SLXP) to more than $160 per share, according to sources, as reported by the NY Times. Pershing Square Capital Management, ValueAct Capital and Valeant will team up to raise the offer for Valeant, the sources indicated.Valeant had agreed to acquire Salix for $158 a share in cash in February. Endo International plc (NASDAQ: ENDP) countered on March 11, with a bid of $175 per share, mostly in Endo shares.Pershing Square's Bill Ackman stated on Friday that Valeant would not overpay for Salix. Pershing Square reported a 5% stake in Valeant on March 9.Salix shares lost $0.65 Friday, closing at $169.40; Valeant shares gained 2.5%. to close at $197.43; Endo lost 3.5%, closing at $87.33. CRT Capital Acquires Sterne Agee's Institutional Equities Business",3/15/2015 18:27:00,Benzinga's Weekend M&A Chatter,The Deal:,,,,,,,,,,
Zr63,3,"Stifel Financial Corp. (NYSE: SF) and Sterne Agee Group, Inc. announced Sunday, that they have agreed to sell Sterne Agee's Institutional Equities business, including Equity Sales, Trading and Research to CRT Capital Group LLC. Financial terms were not disclosed. Stifel Financial shares fell $0.61 Friday, closing at $55.62.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/15/2015 18:27:00,Benzinga's Weekend M&A Chatter,The Deal:,,,,,,,,,,
zK08,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday March 12, 2015:Charter Communications in Talks to Acquire Bright House",3/12/2015 19:04:00,"Benzinga's M&A Chatter for Thursday March 12, 2015",NA,,,,,,,,,,
zK08,1,"Shares of Charter Communications (NASDAQ: CHTR) surged higher Thursday, on a Bloomberg report that the company was in talks to acquire BrightHouse Networks. A spokesperson for BrightHouse said company does not have an agreement with anyone, although they have had talks with multiple parties.Charter lost out to Comcast Corporation (NASDAQ: CMCSA) last year in a bid to acquire Time Warner Cable Inc. (NYSE: TWC).Charter Communications shares gained 6% Thursday, closing at $193.46. InMobi CEO Says No Plans to Sell Company to Google",3/12/2015 19:04:00,"Benzinga's M&A Chatter for Thursday March 12, 2015",The Rumor:,,,CHTR,,,,,1,,private company is target
zK08,2,"InMobi's founder and CEO, Naveen Tewari, told hisemployees in an email Thursday, that he has no plans to sell the company. Economic Times had reported that Google Inc. (NASDAQ: GOOG) was in talks to acquire the mobile advertising startup, according to sources. InMobi is reported to have been seeking $2 billion in a deal.Google shares rose $4.33 Thursday, closing at $555.51.EU Commission Clears ZF Friedrichshafen's Acquisition of TRWThe Approval:ZF Friedrichshafen received antitrust approval from the European Union Thursday for its proposed $13.5 billion acquisition of TRW Automotive Holdings Corp (NYSE: TRW), according to Reuters. The German car parts maker had agreed to sell TRW's chassis components unit in order to secure clearance.TRW shareholders approved the acquisition by ZF Friedrichshafen in November 2014. It is expected to close in H1 of 2015.TRW shares gained $0.40 Thursday, closing at $104.96. Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/12/2015 19:04:00,"Benzinga's M&A Chatter for Thursday March 12, 2015",The Rumor:,,,GOOG,,,,,1,,negative on google acquiring a startup
NJ30,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday March 11, 2015:KKR to Acquire Medical Group Holdings",3/11/2015 19:41:00,"Benzinga's M&A Chatter for Wednesday March 11, 2015",NA,,,,,,,,,,
NJ30,1,"Air Medical Group Holdings announced Wednesday, that funds managed by KKR & Co LP (NYSE: KKR), have signed a definitive agreement to acquire Air Medical from affiliates of Bain Capital and Brockway Moran & Partners. Financial terms of the transaction were not disclosed, although Reuters had reported Tuesday the deal would be valued at approximately $2 billion.The transaction is expected to close in Q2.KKR shares gained $0.05 Wednesday, closing at $22.87. Hearing Unconfirmed Potential Mylan Bid from Teva",3/11/2015 19:41:00,"Benzinga's M&A Chatter for Wednesday March 11, 2015",The Deal:,,,,,,,,,,
NJ30,2,"Shares of Mylan NV (NYSE: MYL) spiked higher Wednesday, on unconfirmed market chatter of a potential bid from Teva (NASDAQ: TEVA)A Teva spokesperson declined comment on the rumor. Mylan did not immediately respond to request for comment.Mylan shares rose 6.5% Wednesday, closing at $59.00>Endo Offers $175 in Cash, Stock for SalixThe Offer:Endo International plc (NASDAQ: ENDP) announced Wednesday, that it has submitted a proposal to the Board of Directors of Salix Pharmaceuticals Ltd. (NASDAQ: SLXP), to acquire all of the outstanding shares of common stock of Salix in a cash and stock transaction valued at $175.00 per Salix share. Salix previously entered a merger agreement with Valeant Pharmaceuticals International, Inc. (NYSE: VRX), dated February 20, 2015, under which which Salix stockholders would receive an amount in cash equal to $158.00 per share for each share of Salix common stock that they own.Salix Board of Directors confirmed receipt of the Endo offer and plans to review and consider it.Salix shares gained more than 7% Wednesday, closing at $169.62. Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/11/2015 19:41:00,"Benzinga's M&A Chatter for Wednesday March 11, 2015",The Rumor:,MYL,,TEVA,,,,0,,,
Li77,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday March 10, 2015:KKR in Talks to Acquire Air Medical Group Holdings for ~$2B",3/10/2015 19:44:00,"Benzinga's M&A Chatter for Tuesday March 10, 2015",NA,,,,,,,,,,
Li77,1,"KKR & Co LP (NYSE: KKR) is near a deal to acquire Air Medical Group Holdings from Bain Capital for about $2 billion, according to sources as reported by Reuters. A deal could be announced as early as this week.Spokespersons for KKR and Bain declined comment on the report. A spokesperson for Air Medical was not available.KKR shares lost 2% Tuesday, closing at $22.82. Bain Capital to Acquire Blue Coat Systems for ~$2.4B",3/10/2015 19:44:00,"Benzinga's M&A Chatter for Tuesday March 10, 2015",The Rumor:,,,KKR,,,,,0,,Private company is target
Li77,2,"Blue Coat Systems announced Tuesday, that it has entered into a definitive agreement to be acquired by funds advised by Bain Capital, in an all-cash transaction valued at approximately $2.4 billion. The deal is expected to close in H1 of 2015.Blue Coat is being acquired from Thoma Bravo, who took the company private in 2011. Rocketmiles Confirms Acquisition by Priceline",3/10/2015 19:44:00,"Benzinga's M&A Chatter for Tuesday March 10, 2015",The Deal:,,,,,,,,,,
Li77,3,"Rocketmiles CEO and co-founder Jay Hoffmann confirmed Tuesday to the Chicago Tribune, that the airline travel reward site has been acquired by The Priceline Group Inc. (NASDAQ: PCLN). The Wall Street Journal reported on February 18 that Priceline would acquire Rocketmiles for approximately $20 million.Priceline shares closed Tuesday at $1191.09, a loss of 2%.Posted-In: News Hedge Funds Rumors M&A Movers General© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/10/2015 19:44:00,"Benzinga's M&A Chatter for Tuesday March 10, 2015",The Deal:,,,,,,,,,,
iN40,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday March 9, 2015:Simon Property Group Proposes Acquisition of Macerich for $91/Share in Cash, StockThe Offer:Simon Property Group, Inc. (NYSE: SPG) announced Monday, that it is offering to acquire all of the outstanding stock of Macerich for $91.00 per share in cash and Simon shares, for a total value of approximately $22.4 billion. Macerich shareholders will receive 50% in cash and 50% in SPG shares.In conjunction with the Macerich offer, Simon announced an agreement in principle to sell selected Macerich assets to General Growth Properties, Inc. (NYSE: GGP)Macerich confirmed receipt of the proposal from Simon and said its Board of Directors will review the proposal with its financial and legal advisors. Macerich stockholders are being advised to take no action at this time.Macerich shares gained 7.5% Monday, closing at $92.60. Pershing Square Buys 5% Stake In Valeant PharmaceuticalsThe Activist Stake:Pershing Square Holdings, Ltd. (OTC: PSHZF) announced Monday, as 4.9% stake in Valeant Pharmaceuticals International, Inc., (NYSE: VRX), representingapproximately 16.9% of the PSH portfolio. Pershing Square announced that various funds it manages have purchased 16,473,933 shares of Valeant.Pershing Square Holdings shares gained $0.15 Monday, closing at $27.75.Hearing Unconfirmed Market Chatter of Symantec $30+/Share Bid for Vasco Data Security",3/9/2015 18:48:00,"Benzinga's M&A Chatter for Tuesday March 9, 2015",NA,,,,,,,,,,
iN40,1,"Shares of Vasco Data Security (NASDAQ: VDSI) spiked higher Monday, on unconfirmed market chatter of a potential bid of more than $30 per share from Symantec Corporation (NASDAQ: SYMC).Spokespersons for Vasco and Symantec did not immediately respond to requests for comment.Vasco Data Security shares closed Monday at $23.01, a gain of 2%.Alcoa to Acquire RTI International Metals for $41.00/Share",3/9/2015 18:48:00,"Benzinga's M&A Chatter for Tuesday March 9, 2015",The Rumor:,VDSI,,SYMC,,,,0,,,
iN40,2,"Alcoa (NYSE: AA) announced Monday, it has signed a definitive agreement to acquire RTI International Metals, Inc. (NYSE: RTI), in a stock-for-stock transaction with an enterprise value of $1.5 billion. RTI shareholders will receive 2.8315 Alcoa shares for each RTI share, representing a value of $41 per RTI share based on Alcoa's closing price on March 6, 2015. RTI shareholders must approve the deal.Alcoa shares closed Monday at $13.70, a loss of more than 5%.Gaming and Leisure Properties Offers to Acquire Pinnacle's Real Estate AssetsThe Offer:Gaming and Leisure Properties, Inc. (NASDAQ: GLPI) announced Monday, that it has sent a letter to the Board of Directors of Pinnacle Entertainment, Inc. (NYSE: PNK) conveying GLPI's offer to acquire the real estate assets of Pinnacle for GLPI shares in a transaction with an enterprise value of $4.1 billion, including assumption of debt. Pinnacle shareholders would receive one share of OpCo common stock and 0.5517 shares of GLPI common stock for each share of Pinnacle they own, for an aggregate value of about $36 per share.Under the GLPI offer, following the spin-off of OpCo, Pinnacle's real estate assets would be merged into GLPI and OpCo would enter into a mutually agreeable master lease agreement with GLPI. The transaction is expected to close prior to the end of 2015. Pinnacle Entertainment shares closed Monday at $31.61, a gain of 15%. Gaming and Leisure shares rose more than 12%, closing at $36.46.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/9/2015 18:48:00,"Benzinga's M&A Chatter for Tuesday March 9, 2015",The Rumor:,,,,,,,,,,not a rumor
VW86,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday March 6 throught Sunday March 8, 2015:Macerich Spikes Higher on Simon Shelf Filing",3/8/2015 21:49:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
VW86,1,"Shares of The Macerich Company (NYSE: MAC) spiked higher Friday, as Simon Property Group Inc. (NYSE: SPG) for a potential mixed shelf offering. The offering size was not disclosed. The Wall Street Journal reported on March 4, that Simon had made multiple takeover approaches to Macerich. The most recent contact was made in the past few weeks, according to sources. Simon reported a 3.6% stake in Macerich in November.Macerich shares lost 1.5% Friday, closing at $86.72. iKang Acquires 70% Stake in WA Health",3/8/2015 21:49:00,Benzinga's Weekend M&A Chatter,The Rumor:,MAC,,SPG,,,,0,0,,
